6.0	6.0	4.8333335	-22.8371	-25.4019	1.0	182.33333	0.02039994	0.0	1.0	0.0	0.8	0.0	0.5	1.0	0.0	0.0	
43.0	44.0	3.8837209	-132.569	-107.731	1.2571429	146.27907	0.049032964	0.0	0.88372093	0.0	0.64285713	0.024390243	0.2682927	0.9166667	5.0	5.0	
9.0	9.0	4.7777777	-17.6083	-29.7621	1.0	139.0	0.008796522	0.0	0.6666667	0.0	0.25	0.0	0.0	0.6666667	0.0	0.0	
20.0	19.0	4.45	-53.8502	-55.0384	1.117647	140.25	0.034740277	0.0	0.85	0.0	0.5263158	0.055555556	0.22222222	0.8888889	2.0	2.0	
26.0	30.0	3.5	-87.9074	-86.1325	1.25	187.76923	0.062217254	0.03846154	0.9230769	0.0	0.72	0.0	0.29166666	1.0	4.0	4.0	
40.0	38.0	3.175	-134.51	-113.096	1.5833334	328.425	0.029599134	0.0	0.975	0.0	0.74358976	0.0	0.39473686	1.0	5.0	5.0	
44.0	50.0	4.4772725	-149.661	-126.987	1.5151515	151.31818	0.103907175	0.022727273	0.8181818	0.046511628	0.55813956	0.0	0.26190478	0.93939394	5.0	6.0	
9.0	9.0	3.7777777	-23.5444	-23.2484	1.0	476.33334	0.026368361	0.0	1.0	0.0	0.875	0.0	0.71428573	1.0	0.0	0.0	
13.0	14.0	4.076923	-36.7492	-36.8809	1.0769231	206.38461	0.0354669	0.0	0.84615386	0.0	0.5833333	0.09090909	0.18181819	0.84615386	0.0	0.0	
24.0	25.0	3.8333333	-73.2571	-66.8979	1.1904762	235.16667	0.047856618	0.0	0.9583333	0.04347826	0.6956522	0.09090909	0.27272728	1.0	0.0	0.0	
